cohort,time_y,n,unique_questions,new_degradation_n,prevalence,auroc,auprc,threshold,tp,fp,fn,tn,precision,recall,f1,risk_lift
future_all,2023-01-29T00:00:00+00:00,116,116,22,0.1896551724137931,0.8638781431334623,0.4947229661485907,0.7840434563169185,18,12,4,82,0.6,0.8181818181818182,0.6923076923076923,3.1636363636363636
future_all,2023-07-31T00:00:00+00:00,86,86,16,0.18604651162790697,0.8888392857142856,0.6300014221889222,0.7840434563169185,12,9,4,61,0.5714285714285714,0.75,0.6486486486486487,3.071428571428571
future_all,2023-11-21T00:00:00+00:00,66,66,11,0.16666666666666666,0.824793388429752,0.4870326643053916,0.7840434563169185,8,6,3,49,0.5714285714285714,0.7272727272727273,0.64,3.4285714285714284
future_all,2024-04-19T00:00:00+00:00,52,52,11,0.21153846153846154,0.8991130820399114,0.645042118965564,0.7840434563169185,7,4,4,37,0.6363636363636364,0.6363636363636364,0.6363636363636364,3.0082644628099175
future_existing_exploratory,2023-01-29T00:00:00+00:00,42,42,10,0.23809523809523808,0.8171875000000001,0.6748076923076922,0.7840434563169185,7,5,3,27,0.5833333333333334,0.7,0.6363636363636364,2.45
future_existing_exploratory,2023-07-31T00:00:00+00:00,43,43,11,0.2558139534883721,0.9232954545454546,0.7033189033189033,0.7840434563169185,9,5,2,27,0.6428571428571429,0.8181818181818182,0.72,2.512987012987013
future_existing_exploratory,2023-11-21T00:00:00+00:00,28,28,6,0.21428571428571427,1.0,1.0,0.7840434563169185,6,1,0,21,0.8571428571428571,1.0,0.9230769230769231,4.0
future_existing_exploratory,2024-04-19T00:00:00+00:00,21,21,5,0.23809523809523808,0.78125,0.5136507936507936,0.7840434563169185,3,3,2,13,0.5,0.6,0.5454545454545454,2.1
future_new_confirmatory,2023-01-29T00:00:00+00:00,74,74,12,0.16216216216216217,0.8938172043010753,0.45667352799705746,0.7840434563169185,11,7,1,55,0.6111111111111112,0.9166666666666666,0.7333333333333333,3.7685185185185186
future_new_confirmatory,2023-07-31T00:00:00+00:00,43,43,5,0.11627906976744186,0.7921052631578946,0.48463203463203464,0.7840434563169185,3,4,2,34,0.42857142857142855,0.6,0.5,3.6857142857142855
future_new_confirmatory,2023-11-21T00:00:00+00:00,38,38,5,0.13157894736842105,0.6575757575757576,0.2548484848484849,0.7840434563169185,2,5,3,28,0.2857142857142857,0.4,0.3333333333333333,2.1714285714285713
future_new_confirmatory,2024-04-19T00:00:00+00:00,31,31,6,0.1935483870967742,0.98,0.9150793650793649,0.7840434563169185,4,1,2,24,0.8,0.6666666666666666,0.7272727272727273,4.133333333333334
