model,display_name,representation,transition_id,time_x,time_y,n,unique_questions,new_degradation_n,prevalence,auroc,auprc,threshold,tp,fp,fn,tn,precision,recall,f1,risk_lift
l2_logistic,L2 Logistic,core4_robust_z,t1,2022-08-31T00:00:00+00:00,2023-01-29T00:00:00+00:00,123,123,22,0.17886178861788618,0.8798379837983799,0.6511675430800576,0.554261002838559,19,20,3,81,0.48717948717948717,0.8636363636363636,0.6229508196721312,2.7237762237762237
l2_logistic,L2 Logistic,core4_robust_z,t2,2023-01-29T00:00:00+00:00,2023-07-31T00:00:00+00:00,92,92,16,0.17391304347826086,0.891858552631579,0.6240113358863358,0.554261002838559,14,11,2,65,0.56,0.875,0.6829268292682927,3.22
l2_logistic,L2 Logistic,core4_robust_z,t3,2023-07-31T00:00:00+00:00,2023-11-21T00:00:00+00:00,70,70,11,0.15714285714285714,0.884437596302003,0.4999879567073242,0.554261002838559,8,6,3,53,0.5714285714285714,0.7272727272727273,0.64,3.6363636363636362
l2_logistic,L2 Logistic,core4_robust_z,t4,2023-11-21T00:00:00+00:00,2024-04-19T00:00:00+00:00,56,56,11,0.19642857142857142,0.8636363636363635,0.7045787545787545,0.554261002838559,9,8,2,37,0.5294117647058824,0.8181818181818182,0.6428571428571429,2.695187165775401
elastic_net,Elastic Net,core4_robust_z,t1,2022-08-31T00:00:00+00:00,2023-01-29T00:00:00+00:00,123,123,22,0.17886178861788618,0.8762376237623762,0.6339695258722109,0.5256562997410354,19,21,3,80,0.475,0.8636363636363636,0.6129032258064516,2.6556818181818183
elastic_net,Elastic Net,core4_robust_z,t2,2023-01-29T00:00:00+00:00,2023-07-31T00:00:00+00:00,92,92,16,0.17391304347826086,0.8902138157894736,0.6709777760819428,0.5256562997410354,14,11,2,65,0.56,0.875,0.6829268292682927,3.22
elastic_net,Elastic Net,core4_robust_z,t3,2023-07-31T00:00:00+00:00,2023-11-21T00:00:00+00:00,70,70,11,0.15714285714285714,0.8674884437596302,0.5512844631054594,0.5256562997410354,8,8,3,51,0.5,0.7272727272727273,0.5925925925925926,3.181818181818182
elastic_net,Elastic Net,core4_robust_z,t4,2023-11-21T00:00:00+00:00,2024-04-19T00:00:00+00:00,56,56,11,0.19642857142857142,0.9121212121212121,0.7544203490843806,0.5256562997410354,9,8,2,37,0.5294117647058824,0.8181818181818182,0.6428571428571429,2.695187165775401
quadratic_logistic,Quadratic Logistic,core4_robust_z,t1,2022-08-31T00:00:00+00:00,2023-01-29T00:00:00+00:00,123,123,22,0.17886178861788618,0.851935193519352,0.5754811845072519,0.6186444637308668,19,18,3,83,0.5135135135135135,0.8636363636363636,0.6440677966101694,2.8710073710073707
quadratic_logistic,Quadratic Logistic,core4_robust_z,t2,2023-01-29T00:00:00+00:00,2023-07-31T00:00:00+00:00,92,92,16,0.17391304347826086,0.8795230263157895,0.6165529047293922,0.6186444637308668,14,11,2,65,0.56,0.875,0.6829268292682927,3.22
quadratic_logistic,Quadratic Logistic,core4_robust_z,t3,2023-07-31T00:00:00+00:00,2023-11-21T00:00:00+00:00,70,70,11,0.15714285714285714,0.810477657935285,0.4980429770182403,0.6186444637308668,8,6,3,53,0.5714285714285714,0.7272727272727273,0.64,3.6363636363636362
quadratic_logistic,Quadratic Logistic,core4_robust_z,t4,2023-11-21T00:00:00+00:00,2024-04-19T00:00:00+00:00,56,56,11,0.19642857142857142,0.8898989898989899,0.5967275321599286,0.6186444637308668,8,7,3,38,0.5333333333333333,0.7272727272727273,0.6153846153846154,2.7151515151515153
additive_gam,Additive GAM,core4_robust_z,t1,2022-08-31T00:00:00+00:00,2023-01-29T00:00:00+00:00,123,123,22,0.17886178861788618,0.8465346534653465,0.5640775112794518,0.5879487749417575,19,17,3,84,0.5277777777777778,0.8636363636363636,0.6551724137931034,2.9507575757575757
additive_gam,Additive GAM,core4_robust_z,t2,2023-01-29T00:00:00+00:00,2023-07-31T00:00:00+00:00,92,92,16,0.17391304347826086,0.860608552631579,0.5445621105223466,0.5879487749417575,14,11,2,65,0.56,0.875,0.6829268292682927,3.22
additive_gam,Additive GAM,core4_robust_z,t3,2023-07-31T00:00:00+00:00,2023-11-21T00:00:00+00:00,70,70,11,0.15714285714285714,0.8505392912172574,0.5149784695239241,0.5879487749417575,8,7,3,52,0.5333333333333333,0.7272727272727273,0.6153846153846154,3.393939393939394
additive_gam,Additive GAM,core4_robust_z,t4,2023-11-21T00:00:00+00:00,2024-04-19T00:00:00+00:00,56,56,11,0.19642857142857142,0.8212121212121212,0.4789130061857334,0.5879487749417575,7,7,4,38,0.5,0.6363636363636364,0.56,2.5454545454545454
rbf_svm,RBF-SVM,core4_ecdf,t1,2022-08-31T00:00:00+00:00,2023-01-29T00:00:00+00:00,123,123,22,0.17886178861788618,0.8971647164716471,0.7088277481055282,0.35702169782727194,17,16,5,85,0.5151515151515151,0.7727272727272727,0.6181818181818182,2.8801652892561984
rbf_svm,RBF-SVM,core4_ecdf,t2,2023-01-29T00:00:00+00:00,2023-07-31T00:00:00+00:00,92,92,16,0.17391304347826086,0.871299342105263,0.6881381000676132,0.35702169782727194,13,13,3,63,0.5,0.8125,0.6190476190476191,2.875
rbf_svm,RBF-SVM,core4_ecdf,t3,2023-07-31T00:00:00+00:00,2023-11-21T00:00:00+00:00,70,70,11,0.15714285714285714,0.8613251155624038,0.6208257048177998,0.35702169782727194,8,7,3,52,0.5333333333333333,0.7272727272727273,0.6153846153846154,3.393939393939394
rbf_svm,RBF-SVM,core4_ecdf,t4,2023-11-21T00:00:00+00:00,2024-04-19T00:00:00+00:00,56,56,11,0.19642857142857142,0.7969696969696969,0.611580231502862,0.35702169782727194,6,7,5,38,0.46153846153846156,0.5454545454545454,0.5,2.34965034965035
extra_trees,Extra Trees,core4_robust_z,t1,2022-08-31T00:00:00+00:00,2023-01-29T00:00:00+00:00,123,123,22,0.17886178861788618,0.8665616561656165,0.5402757107926511,0.5817269769013695,18,16,4,85,0.5294117647058824,0.8181818181818182,0.6428571428571429,2.9598930481283423
extra_trees,Extra Trees,core4_robust_z,t2,2023-01-29T00:00:00+00:00,2023-07-31T00:00:00+00:00,92,92,16,0.17391304347826086,0.8869243421052632,0.5629182778183737,0.5817269769013695,14,11,2,65,0.56,0.875,0.6829268292682927,3.22
extra_trees,Extra Trees,core4_robust_z,t3,2023-07-31T00:00:00+00:00,2023-11-21T00:00:00+00:00,70,70,11,0.15714285714285714,0.8351309707241911,0.49075641431117656,0.5817269769013695,8,8,3,51,0.5,0.7272727272727273,0.5925925925925926,3.181818181818182
extra_trees,Extra Trees,core4_robust_z,t4,2023-11-21T00:00:00+00:00,2024-04-19T00:00:00+00:00,56,56,11,0.19642857142857142,0.8717171717171718,0.6365806607185918,0.5817269769013695,7,7,4,38,0.5,0.6363636363636364,0.56,2.5454545454545454
hist_gradient_boosting,HistGradientBoosting,core4_rank_gaussian,t1,2022-08-31T00:00:00+00:00,2023-01-29T00:00:00+00:00,123,123,22,0.17886178861788618,0.8636363636363635,0.5340609901101506,0.5469594525013234,18,21,4,80,0.46153846153846156,0.8181818181818182,0.5901639344262295,2.5804195804195804
hist_gradient_boosting,HistGradientBoosting,core4_rank_gaussian,t2,2023-01-29T00:00:00+00:00,2023-07-31T00:00:00+00:00,92,92,16,0.17391304347826086,0.905016447368421,0.6155501506432612,0.5469594525013234,14,14,2,62,0.5,0.875,0.6363636363636364,2.875
hist_gradient_boosting,HistGradientBoosting,core4_rank_gaussian,t3,2023-07-31T00:00:00+00:00,2023-11-21T00:00:00+00:00,70,70,11,0.15714285714285714,0.8667180277349769,0.5529949344820826,0.5469594525013234,9,10,2,49,0.47368421052631576,0.8181818181818182,0.6,3.014354066985646
hist_gradient_boosting,HistGradientBoosting,core4_rank_gaussian,t4,2023-11-21T00:00:00+00:00,2024-04-19T00:00:00+00:00,56,56,11,0.19642857142857142,0.7818181818181819,0.3959997572983843,0.5469594525013234,8,11,3,34,0.42105263157894735,0.7272727272727273,0.5333333333333333,2.1435406698564594
xgboost,XGBoost,core4_ecdf,t1,2022-08-31T00:00:00+00:00,2023-01-29T00:00:00+00:00,123,123,22,0.17886178861788618,0.8751125112511252,0.5597441997392578,0.7460450728734335,16,13,6,88,0.5517241379310345,0.7272727272727273,0.6274509803921569,3.084639498432602
xgboost,XGBoost,core4_ecdf,t2,2023-01-29T00:00:00+00:00,2023-07-31T00:00:00+00:00,92,92,16,0.17391304347826086,0.9148848684210527,0.668454648210083,0.7460450728734335,12,9,4,67,0.5714285714285714,0.75,0.6486486486486487,3.2857142857142856
xgboost,XGBoost,core4_ecdf,t3,2023-07-31T00:00:00+00:00,2023-11-21T00:00:00+00:00,70,70,11,0.15714285714285714,0.8551617873651772,0.487772257042034,0.7460450728734335,7,7,4,52,0.5,0.6363636363636364,0.56,3.181818181818182
xgboost,XGBoost,core4_ecdf,t4,2023-11-21T00:00:00+00:00,2024-04-19T00:00:00+00:00,56,56,11,0.19642857142857142,0.7999999999999999,0.4407723332557412,0.7460450728734335,5,6,6,39,0.45454545454545453,0.45454545454545453,0.45454545454545453,2.3140495867768593
mlp,MLP,core4_robust_z,t1,2022-08-31T00:00:00+00:00,2023-01-29T00:00:00+00:00,123,123,22,0.17886178861788618,0.8807380738073808,0.6261702267500321,0.6193909280697582,20,24,2,77,0.45454545454545453,0.9090909090909091,0.6060606060606061,2.541322314049587
mlp,MLP,core4_robust_z,t2,2023-01-29T00:00:00+00:00,2023-07-31T00:00:00+00:00,92,92,16,0.17391304347826086,0.8754111842105263,0.6546598266499583,0.6193909280697582,14,18,2,58,0.4375,0.875,0.5833333333333334,2.515625
mlp,MLP,core4_robust_z,t3,2023-07-31T00:00:00+00:00,2023-11-21T00:00:00+00:00,70,70,11,0.15714285714285714,0.8705701078582435,0.4278870777882635,0.6193909280697582,10,13,1,46,0.43478260869565216,0.9090909090909091,0.5882352941176471,2.766798418972332
mlp,MLP,core4_robust_z,t4,2023-11-21T00:00:00+00:00,2024-04-19T00:00:00+00:00,56,56,11,0.19642857142857142,0.7787878787878787,0.5741205763933036,0.6193909280697582,9,11,2,34,0.45,0.8181818181818182,0.5806451612903226,2.290909090909091
