"confusion_group","condition","n_events","mean_accuracy","mean_semantic_entropy","mean_semantic_volume"
"detector_true_positive","p1_natural","48","0.25390625","0.188244168899017","-211.13799870487"
"detector_true_positive","p2_support_presence","48","0.303385416666667","0.218130696848583","-213.701532009938"
"detector_true_positive","p3_support_first","48","0.217447916666667","0.204771094079294","-212.541278844574"
"detector_true_positive","p4_evidence_only","48","0.32421875","0.114574501687934","-218.639692102908"
"detector_true_positive","p5_fact_card","48","0.998697916666667","0.0048706595563429","-229.773767667536"
"detector_true_negative_control","p1_natural","42","0.885416666666667","0.0577768013362243","-221.375620818161"
"detector_true_negative_control","p2_support_presence","42","0.882440476190476","0.0533340305931946","-222.939761096603"
"detector_true_negative_control","p3_support_first","42","0.805059523809524","0.0623222024512823","-220.868029777696"
"detector_true_negative_control","p4_evidence_only","42","0.724702380952381","0.133248950554962","-219.418539913327"
"detector_true_negative_control","p5_fact_card","42","0.961309523809524","0.0223596501397915","-228.182775305275"
"detector_false_positive","p1_natural","42","0.675595238095238","0.087130761554955","-215.8278987944"
"detector_false_positive","p2_support_presence","42","0.712797619047619","0.0829302457836758","-214.694805974189"
"detector_false_positive","p3_support_first","42","0.744047619047619","0.0654822560894206","-216.849296397524"
"detector_false_positive","p4_evidence_only","42","0.550595238095238","0.125373487260976","-220.920938852716"
"detector_false_positive","p5_fact_card","42","0.980654761904762","0.0320685106054867","-228.582372407146"
"detector_false_negative","p1_natural","12","0.0729166666666667","0.296283829123565","-191.990260507531"
"detector_false_negative","p2_support_presence","12","0.21875","0.268870352850925","-198.493541617729"
"detector_false_negative","p3_support_first","12","0.21875","0.191281250619809","-202.720270562095"
"detector_false_negative","p4_evidence_only","12","0.572916666666667","0.089125607428184","-205.175411112259"
"detector_false_negative","p5_fact_card","12","1","0","-230.242814776156"
