cohort_group,condition,n_questions,mean_accuracy,mean_delta_vs_p1,delta_ci95_low,delta_ci95_high,mean_semantic_entropy,mean_semantic_volume
new_degradation,p1_natural,22,0.21875,0.0,0.0,0.0,0.2700524761434751,-208.53132818386487
new_degradation,p2_support_presence,22,0.2528409090909091,0.03409090909090909,-0.0625,0.1620028409090905,0.3028517307881501,-207.41315418715902
new_degradation,p3_support_first,22,0.22443181818181818,0.005681818181818182,-0.1875,0.1903409090909091,0.3378512173641724,-198.892112948795
new_degradation,p4_evidence_only,22,0.6079545454545454,0.38920454545454547,0.15625,0.616548295454545,0.10997906394790631,-217.2897651192934
new_degradation,p5_fact_card,22,1.0,0.78125,0.6306818181818182,0.9063210227272723,0.0,-230.25358588010138
persistent_failure,p1_natural,18,0.1597222222222222,0.0,0.0,0.0,0.18591545811757465,-212.73388147984966
persistent_failure,p2_support_presence,18,0.16666666666666666,0.006944444444444444,0.0,0.017361111111111112,0.17415120502484427,-211.46484773624834
persistent_failure,p3_support_first,18,0.1597222222222222,0.0,-0.0798611111111111,0.0798611111111111,0.18667918911888284,-209.10246913880803
persistent_failure,p4_evidence_only,18,0.3263888888888889,0.16666666666666666,-0.017361111111111112,0.3645833333333333,0.21927197432997855,-212.86136567240243
persistent_failure,p5_fact_card,18,0.9444444444444444,0.7847222222222222,0.5972222222222222,0.9446180555555546,0.062481682735200925,-227.54406722831766
adaptive_control,p1_natural,22,0.9772727272727273,0.0,0.0,0.0,0.04069794985729279,-218.6501043812583
adaptive_control,p2_support_presence,22,0.9715909090909091,-0.005681818181818182,-0.019886363636363636,0.005681818181818182,0.042133583602836575,-216.6017534405066
adaptive_control,p3_support_first,22,0.8607954545454546,-0.11647727272727272,-0.2556818181818182,-0.011363636363636364,0.05379188723500243,-218.2033083685145
adaptive_control,p4_evidence_only,22,0.9090909090909091,-0.06818181818181818,-0.13636363636363635,-0.014204545454545454,0.12394108024263034,-210.3043939193786
adaptive_control,p5_fact_card,22,1.0,0.022727272727272728,0.0,0.05965909090909091,0.0,-230.25524141271134
normal_control,p1_natural,22,0.9715909090909091,0.0,0.0,0.0,0.0692977136841174,-217.27062984388215
normal_control,p2_support_presence,22,0.9744318181818182,0.002840909090909091,-0.014204545454545454,0.02556818181818182,0.07694620312103172,-218.1636342415649
normal_control,p3_support_first,22,0.9488636363636364,-0.022727272727272728,-0.11086647727272726,0.036931818181818184,0.08185776185380784,-213.58443698149733
normal_control,p4_evidence_only,22,0.8352272727272727,-0.13636363636363635,-0.25,-0.042542613636364024,0.14149115729712095,-218.71727529338605
normal_control,p5_fact_card,22,1.0,0.028409090909090908,0.0,0.07386363636363637,0.0,-230.25482133811605
