cohort_group,earliest_recovery_stage,mechanism,n_questions
adaptive_control,p1_natural,no_failure_on_rerun,22
new_degradation,p1_natural,no_failure_on_rerun,4
new_degradation,p2_support_presence,retrieval_coverage_failure,2
new_degradation,p3_support_first,ranking_or_position_sensitivity,1
new_degradation,p4_evidence_only,evidence_extraction_or_context_complexity_failure,8
new_degradation,p5_fact_card,evidence_utilization_or_answer_realization_failure,7
normal_control,p1_natural,no_failure_on_rerun,22
persistent_failure,p1_natural,no_failure_on_rerun,3
persistent_failure,p4_evidence_only,evidence_extraction_or_context_complexity_failure,4
persistent_failure,p5_fact_card,evidence_utilization_or_answer_realization_failure,11
