delta_threshold,accuracy_threshold,cohort_group,n_questions,recovered_questions,recovery_rate
0.1,0.5,new_degradation,22,20,0.9090909090909091
0.1,0.5,persistent_failure,18,18,1.0
0.1,0.5,adaptive_control,22,1,0.045454545454545456
0.1,0.5,normal_control,22,2,0.09090909090909091
0.1,0.75,new_degradation,22,20,0.9090909090909091
0.1,0.75,persistent_failure,18,18,1.0
0.1,0.75,adaptive_control,22,1,0.045454545454545456
0.1,0.75,normal_control,22,2,0.09090909090909091
0.25,0.5,new_degradation,22,19,0.8636363636363636
0.25,0.5,persistent_failure,18,16,0.8888888888888888
0.25,0.5,adaptive_control,22,1,0.045454545454545456
0.25,0.5,normal_control,22,1,0.045454545454545456
0.25,0.75,new_degradation,22,19,0.8636363636363636
0.25,0.75,persistent_failure,18,16,0.8888888888888888
0.25,0.75,adaptive_control,22,1,0.045454545454545456
0.25,0.75,normal_control,22,1,0.045454545454545456
0.5,0.5,new_degradation,22,19,0.8636363636363636
0.5,0.5,persistent_failure,18,16,0.8888888888888888
0.5,0.5,adaptive_control,22,0,0.0
0.5,0.5,normal_control,22,1,0.045454545454545456
0.5,0.75,new_degradation,22,19,0.8636363636363636
0.5,0.75,persistent_failure,18,16,0.8888888888888888
0.5,0.75,adaptive_control,22,0,0.0
0.5,0.75,normal_control,22,1,0.045454545454545456
